Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A13004_001,SE_A13004_002,SE_A13004_003,SE_A13004_004,SE_A13004_005,SE_A13004_006,SE_A13004_007
"06037231602","Census Tract 2316.02, Los Angeles County, California","ACSSF","ca","140","00","0005006",,,,,"06","037",,,"231602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037231602","Census Tract 2316.02",,,,2029,98,6,47,297,156,1425
"06037231603","Census Tract 2316.03, Los Angeles County, California","ACSSF","ca","140","00","0005007",,,,,"06","037",,,"231603",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037231603","Census Tract 2316.03",,,,2815,385,265,176,517,271,1201
"06037231710","Census Tract 2317.10, Los Angeles County, California","ACSSF","ca","140","00","0005008",,,,,"06","037",,,"231710",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037231710","Census Tract 2317.10",,,,4163,541,314,275,673,760,1600
"06037231720","Census Tract 2317.20, Los Angeles County, California","ACSSF","ca","140","00","0005009",,,,,"06","037",,,"231720",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037231720","Census Tract 2317.20",,,,5295,708,315,789,660,784,2039
"06037231800","Census Tract 2318, Los Angeles County, California","ACSSF","ca","140","00","0005010",,,,,"06","037",,,"231800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037231800","Census Tract 2318",,,,5362,473,1169,273,763,824,1860
"06037231901","Census Tract 2319.01, Los Angeles County, California","ACSSF","ca","140","00","0005011",,,,,"06","037",,,"231901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037231901","Census Tract 2319.01",,,,3158,190,14,252,706,502,1494
"06037231902","Census Tract 2319.02, Los Angeles County, California","ACSSF","ca","140","00","0005012",,,,,"06","037",,,"231902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037231902","Census Tract 2319.02",,,,3093,717,338,396,168,317,1157
"06037232110","Census Tract 2321.10, Los Angeles County, California","ACSSF","ca","140","00","0005013",,,,,"06","037",,,"232110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037232110","Census Tract 2321.10",,,,3180,425,208,330,481,187,1549
"06037232120","Census Tract 2321.20, Los Angeles County, California","ACSSF","ca","140","00","0005014",,,,,"06","037",,,"232120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037232120","Census Tract 2321.20",,,,5271,355,530,276,703,1277,2130
"06037232200","Census Tract 2322, Los Angeles County, California","ACSSF","ca","140","00","0005015",,,,,"06","037",,,"232200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037232200","Census Tract 2322",,,,3609,273,174,170,343,529,2120
"06037232300","Census Tract 2323, Los Angeles County, California","ACSSF","ca","140","00","0005016",,,,,"06","037",,,"232300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037232300","Census Tract 2323",,,,5209,616,6,282,520,1038,2747
